Pure gauge SU2
Overrelaxed/quasi-heat bath algorithm
type 0 for no prompts, 1 for prompts or 2 for list of prompts
lattice dimensions = 2 2 2 2
random number seed = 8352
LAYOUT = Hypercubes, options = EVENFIRST,


warms = 100 trajecs = 100
no. of traj. between prop. meas. = 1
plaq. beta = 2.000000
number of microcanonical steps per trajectory = 0
number of qhb steps per trajectory = 1
NOT fixing the gauge
new lattice loaded
Time for getting lattice = 0.000000e+00 seconds
START 2.000000e+00 2.000000e+00
THERMALIZATION COMPLETED
GMES 9.990000e+01 9.990000e+01 9.990000e+01 1.408705e-01 4.570455e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 4.182706e-01 2.047514e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 2.233430e-01 1.111772e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 3.734781e-01 4.402926e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 3.501868e-01 5.164754e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 1.993233e-01 3.992980e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 2.097608e-01 2.852235e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 2.940803e-01 4.166830e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 3.484341e-01 5.735765e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 3.400679e-01 5.003763e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 4.341804e-01 3.328139e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 8.954553e-02 3.791603e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 2.167794e-01 4.897587e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 4.856071e-01 2.955809e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 4.245124e-01 4.205732e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 5.587513e-01 3.152460e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 5.678008e-01 1.901714e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 3.967377e-01 1.608419e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 7.062621e-01 2.817746e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 4.849031e-01 3.050928e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 4.857688e-01 5.089350e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 5.124338e-01 5.837741e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 2.564232e-01 4.554704e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 4.872471e-01 2.570357e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 3.219576e-01 3.868162e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 3.314137e-01 3.521997e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 3.526062e-01 3.198111e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 4.257654e-01 3.230567e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 3.014655e-01 6.689461e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 1.720338e-01 3.141357e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 2.290647e-01 2.651475e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 5.064167e-01 2.727170e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 3.482920e-01 3.307517e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 5.327002e-01 4.592795e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 3.829050e-01 4.814871e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 4.327120e-01 4.228061e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 2.680336e-01 1.025774e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 3.570761e-01 2.581068e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 5.845916e-01 3.929485e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 4.473347e-01 4.693517e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 4.380843e-01 2.188350e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 3.802631e-01 3.575454e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 3.045712e-01 3.948837e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 3.868623e-01 3.683420e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 4.072654e-01 2.347105e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 3.120707e-01 4.373671e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 -1.302595e-01 2.050943e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 5.432263e-01 3.277200e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 5.062453e-01 2.621589e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 3.858604e-01 3.727391e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 5.872264e-01 4.271512e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 1.952425e-01 1.936002e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 3.047714e-01 3.359481e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 3.186671e-01 4.554927e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 5.027136e-01 2.342732e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 4.275835e-01 4.262241e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 1.629582e-01 2.485832e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 3.088269e-01 3.309589e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 3.252377e-01 3.992478e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 1.417099e-01 5.269167e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 4.081596e-01 3.201681e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 3.433098e-01 2.691109e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 3.742116e-01 3.401432e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 3.417603e-01 4.288011e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 4.172082e-01 4.438914e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 2.980391e-01 4.509545e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 4.290210e-01 6.273761e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 3.951753e-01 5.167707e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 3.487316e-01 3.116209e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 4.139406e-01 2.635107e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 3.984552e-01 3.733691e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 2.338481e-01 4.911054e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 5.066866e-01 2.387655e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 3.767508e-01 4.020971e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 3.182031e-01 3.668207e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 2.520634e-01 3.733775e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 6.716914e-01 6.330290e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 2.384872e-01 2.380493e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 4.262836e-01 4.260828e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 4.798478e-01 4.081206e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 3.912643e-01 3.796814e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 5.867212e-01 3.580442e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 2.767624e-01 3.919114e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 3.460017e-01 2.921863e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 2.841745e-01 2.979976e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 3.680890e-01 3.897259e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 2.568534e-01 1.809724e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 4.698379e-01 4.046890e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 2.347113e-01 6.057951e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 3.982612e-01 3.009765e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 5.009803e-01 2.971109e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 2.271461e-01 3.273793e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 6.824085e-01 2.823643e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 3.373083e-01 3.587561e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 1.847779e-01 5.181609e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 1.411344e-02 2.481190e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 3.541514e-01 3.336325e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 4.665168e-01 2.711376e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 3.890175e-01 5.317981e-01
GMES 9.990000e+01 9.990000e+01 9.990000e+01 2.873437e-01 5.626230e-01
RUNNING COMPLETED
Time = 3.516526e+00 seconds


Termination: status = 0
